"date","cases","deaths"
"1/22/20",0,0
"1/23/20",0,0
"1/24/20",0,0
"1/25/20",0,0
"1/26/20",0,0
"1/27/20",0,0
"1/28/20",0,0
"1/29/20",0,0
"1/30/20",0,0
"1/31/20",0,0
"2/1/20",0,0
"2/2/20",0,0
"2/3/20",0,0
"2/4/20",0,0
"2/5/20",0,0
"2/6/20",0,0
"2/7/20",0,0
"2/8/20",0,0
"2/9/20",0,0
"2/10/20",0,0
"2/11/20",0,0
"2/12/20",0,0
"2/13/20",0,0
"2/14/20",0,0
"2/15/20",0,0
"2/16/20",0,0
"2/17/20",0,0
"2/18/20",0,0
"2/19/20",0,0
"2/20/20",0,0
"2/21/20",0,0
"2/22/20",0,0
"2/23/20",0,0
"2/24/20",0,0
"2/25/20",0,0
"2/26/20",0,0
"2/27/20",0,0
"2/28/20",0,0
"2/29/20",0,0
"3/1/20",0,0
"3/2/20",0,0
"3/3/20",0,0
"3/4/20",0,0
"3/5/20",0,0
"3/6/20",0,0
"3/7/20",0,0
"3/8/20",0,0
"3/9/20",0,0
"3/10/20",0,0
"3/11/20",0,0
"3/12/20",0,0
"3/13/20",0,0
"3/14/20",2,0
"3/15/20",10,0
"3/16/20",17,0
"3/17/20",33,0
"3/18/20",36,0
"3/19/20",42,0
"3/20/20",42,0
"3/21/20",70,0
"3/22/20",70,0
"3/23/20",77,0
"3/24/20",84,0
"3/25/20",91,0
"3/26/20",107,0
"3/27/20",107,1
"3/28/20",119,2
"3/29/20",119,2
"3/30/20",135,3
"3/31/20",135,3
"4/1/20",143,3
"4/2/20",146,5
"4/3/20",153,7
"4/4/20",155,7
"4/5/20",159,7
"4/6/20",165,7
"4/7/20",165,7
"4/8/20",167,9
"4/9/20",171,9
"4/10/20",171,9
"4/11/20",175,9
"4/12/20",181,9
"4/13/20",189,9
"4/14/20",189,9
"4/15/20",197,9
"4/16/20",204,9
"4/17/20",204,9
"4/18/20",227,9
"4/19/20",256,9
"4/20/20",256,9
"4/21/20",285,10
"4/22/20",288,10
"4/23/20",311,10
"4/24/20",318,10
"4/25/20",323,10
"4/26/20",325,10
"4/27/20",329,10
"4/28/20",329,10
"4/29/20",331,10
"4/30/20",333,16
"5/1/20",335,10
"5/2/20",345,10
"5/3/20",357,10
"5/4/20",357,10
"5/5/20",361,10
"5/6/20",379,10
"5/7/20",381,10
"5/8/20",388,10
"5/9/20",402,10
"5/10/20",414,10
"5/11/20",422,10
"5/12/20",423,10
"5/13/20",423,10
"5/14/20",455,10
"5/15/20",459,10
"5/16/20",504,10
"5/17/20",541,10
"5/18/20",618,10
"5/19/20",749,10
"5/20/20",824,10
"5/21/20",882,10
"5/22/20",944,10
"5/23/20",1010,10
"5/24/20",1121,10
"5/25/20",1177,10
"5/26/20",1211,11
"5/27/20",1245,11
"5/28/20",1325,11
"5/29/20",1370,14
"5/30/20",1459,14
"5/31/20",1510,14
"6/1/20",1662,17
"6/2/20",1819,18
"6/3/20",1952,20
"6/4/20",2087,20
"6/5/20",2145,20
"6/6/20",2316,22
"6/7/20",2377,22
"6/8/20",2473,22
"6/9/20",2632,23
"6/10/20",2738,23
"6/11/20",2814,23
"6/12/20",2879,23
"6/13/20",2904,24
"6/14/20",2978,25
"6/15/20",3062,26
"6/16/20",3150,27
"6/17/20",3386,28
"6/18/20",3483,28
"6/19/20",3591,30
"6/20/20",3789,33
"6/21/20",3917,33
"6/22/20",4048,35
"6/23/20",4187,35
"6/24/20",4366,38
"6/25/20",4563,39
"6/26/20",4779,41
"6/27/20",5130,42
"6/28/20",5297,44
"6/29/20",5530,48
"6/30/20",5832,51
"7/1/20",6062,54
"7/2/20",6273,57
"7/3/20",6537,59
"7/4/20",6750,62
"7/5/20",7169,65
"7/6/20",7411,68
"7/7/20",7693,71
"7/8/20",8008,75
"7/9/20",8372,80
"7/10/20",8803,83
"7/11/20",9178,85
"7/12/20",9465,89
"7/13/20",9707,93
"7/14/20",10010,96
"7/15/20",10428,100
"7/16/20",10854,104
"7/17/20",11191,107
"7/18/20",11483,110
"7/19/20",11891,112
"7/20/20",12334,116
"7/21/20",12774,120
"7/22/20",13164,124
"7/23/20",13613,129
"7/24/20",14263,134
"7/25/20",14929,138
"7/26/20",15463,142
"7/27/20",15988,146
"7/28/20",16571,151
"7/29/20",17158,156
"7/30/20",17859,158
"7/31/20",18574,164
"8/1/20",19443,169
"8/2/20",20206,174
"8/3/20",20754,180
"8/4/20",21438,187
"8/5/20",22299,195
"8/6/20",23280,202
"8/7/20",24166,208
"8/8/20",24961,215
"8/9/20",25805,223
"8/10/20",26800,229
"8/11/20",27938,238
"8/12/20",29088,247
"8/13/20",30369,259
"8/14/20",31381,266
"8/15/20",32607,276
"8/16/20",33755,281
"8/17/20",34802,288
"8/18/20",35697,297
"8/19/20",36868,303
"8/20/20",37567,311
"8/21/20",38219,317
"8/22/20",38957,323
"8/23/20",39564,329
"8/24/20",40338,337
"8/25/20",41158,343
"8/26/20",41965,351
"8/27/20",42898,358
"8/28/20",43879,366
"8/29/20",44946,375
"8/30/20",45868,381
"8/31/20",46728,386
"9/1/20",47756,391
"9/2/20",48883,398
"9/3/20",49877,402
"9/4/20",50973,412
"9/5/20",52165,420
"9/6/20",53289,428
"9/7/20",54350,436
"9/8/20",55563,444
"9/9/20",56751,452
"9/10/20",57823,460
"9/11/20",58663,468
"9/12/20",59630,477
"9/13/20",60540,485
"9/14/20",61569,494
"9/15/20",62655,502
"9/16/20",63416,511
"9/17/20",64284,520
"9/18/20",65174,530
"9/19/20",65949,539
"9/20/20",66656,547
"9/21/20",67443,555
"9/22/20",68453,564
"9/23/20",69439,574
"9/24/20",70406,581
"9/25/20",71273,591
"9/26/20",71940,600
"9/27/20",72691,606
"9/28/20",73528,614
"9/29/20",74363,621
"9/30/20",75122,628
"10/1/20",76029,635
"10/2/20",76820,643
"10/3/20",77646,649
"10/4/20",78434,653
"10/5/20",79117,658
"10/6/20",79796,665
"10/7/20",80404,671
"10/8/20",81019,678
"10/9/20",81696,684
"10/10/20",82453,691
"10/11/20",83137,697
"10/12/20",83756,704
"10/13/20",84391,710
"10/14/20",85005,714
"10/15/20",85469,720
"10/16/20",85758,725
"10/17/20",86289,731
"10/18/20",86636,736
"10/19/20",86636,736
"10/20/20",87644,747
"10/21/20",88035,753
"10/22/20",88416,759
"10/23/20",88718,764
"10/24/20",89142,770
"10/25/20",89565,773
"10/26/20",90047,777
"10/27/20",90400,780
"10/28/20",90876,784
"10/29/20",91280,789
"10/30/20",91589,793
"10/31/20",92013,798
"11/1/20",92325,801
"11/2/20",92705,806
"11/3/20",93100,810
"11/4/20",93480,814
"11/5/20",93921,819
"11/6/20",94305,821
"11/7/20",94698,824
"11/8/20",94883,826
"11/9/20",95149,830
"11/10/20",95445,834
"11/11/20",95750,838
"11/12/20",96140,841
"11/13/20",96441,844
"11/14/20",96933,848
"11/15/20",97352,851
"11/16/20",97739,855
"11/17/20",98050,858
"11/18/20",98350,860
"11/19/20",98665,863
"11/20/20",99017,866
"11/21/20",99435,869
"11/22/20",99835,871
"11/23/20",100143,873
"11/24/20",100498,876
"11/25/20",100817,880
"11/26/20",101215,884
"11/27/20",101524,888
"11/28/20",101760,892
"11/29/20",102040,894
"11/30/20",102394,897
"12/1/20",102621,901
"12/2/20",103067,905
"12/3/20",103548,909
"12/4/20",103877,913
"12/5/20",104177,916
"12/6/20",104442,919
"12/7/20",104904,924
"12/8/20",105384,928
"12/9/20",105852,933
"12/10/20",106280,938
"12/11/20",106715,944
"12/12/20",107177,949
"12/13/20",107786,954
"12/14/20",108125,960
"12/15/20",108480,965
"12/16/20",108717,970
"12/17/20",109081,975
"12/18/20",109395,979
"12/19/20",109781,984
"12/20/20",110075,988
"12/21/20",110513,993
"12/22/20",110828,997
"12/23/20",111024,1002
"12/24/20",111245,1006
"12/25/20",111603,1010
"12/26/20",111951,1013
"12/27/20",112316,1014
"12/28/20",112636,1018
"12/29/20",112861,1021
"12/30/20",113121,1025
"12/31/20",113558,1028
"1/1/21",113884,1030
"1/2/21",114083,1032
"1/3/21",114230,1034
"1/4/21",114407,1038
"1/5/21",114662,1042
"1/6/21",114908,1047
"1/7/21",115322,1052
"1/8/21",115667,1056
"1/9/21",116172,1061
"1/10/21",116610,1061
"1/11/21",116983,1073
"1/12/21",117299,1078
"1/13/21",117811,1084
"1/14/21",118415,1090
"1/15/21",118856,1095
"1/16/21",119306,1101
"1/17/21",119803,1106
"1/18/21",120444,1112
"1/19/21",121117,1116
"1/20/21",121691,1122
"1/21/21",122260,1129
"1/22/21",122795,1136
"1/23/21",123245,1142
"1/24/21",123709,1148
"1/25/21",124112,1154
"1/26/21",124525,1159
"1/27/21",124958,1165
"1/28/21",125364,1171
"1/29/21",125776,1177
"1/30/21",126323,1183
"1/31/21",126927,1189
"2/1/21",127346,1196
"2/2/21",127752,1202
"2/3/21",128315,1209
"2/4/21",128775,1216
"2/5/21",129231,1223
"2/6/21",129643,1228
"2/7/21",130116,1233
"2/8/21",130596,1240
"2/9/21",131096,1247
"2/10/21",131476,1253
"2/11/21",131828,1260
"2/12/21",132259,1267
"2/13/21",132743,1273
"2/14/21",133218,1279
"2/15/21",133577,1285
"2/16/21",133927,1292
"2/17/21",134319,1297
"2/18/21",134781,1303
"2/19/21",135114,1308
"2/20/21",135603,1312
"2/21/21",136068,1316
"2/22/21",136545,1320
"2/23/21",136986,1325
"2/24/21",137445,1331
"2/25/21",137871,1334
"2/26/21",138295,1338
"2/27/21",138739,1341
"2/28/21",139116,1344
"3/1/21",139545,1348
"3/2/21",139934,1353
"3/3/21",140383,1358
"3/4/21",140960,1364
"3/5/21",141356,1371
"3/6/21",141885,1378
"3/7/21",142338,1384
"3/8/21",142774,1391
"3/9/21",143321,1399
"3/10/21",143321,1399
"3/11/21",144277,1415
"3/12/21",144786,1422
"3/13/21",145379,1430
"3/14/21",145379,1430
"3/15/21",146488,1444
"3/16/21",147028,1451
"3/17/21",147577,1459
"3/18/21",148208,1467
"3/19/21",149145,1475
"3/20/21",150306,1483
"3/21/21",151123,1493
"3/22/21",151894,1502
"3/23/21",152508,1511
"3/24/21",153315,1521
"3/25/21",154165,1532
"3/26/21",154905,1543
"3/27/21",155663,1555
"3/28/21",156655,1565
"3/29/21",157943,1577
"3/30/21",159149,1589
"3/31/21",160497,1602
"4/1/21",161751,1615
"4/2/21",162730,1629
"4/3/21",164337,1647
"4/4/21",166123,1662
"4/5/21",167548,1678
"4/6/21",169074,1693
"4/7/21",170189,1705
"4/8/21",171373,1720
