"date","cases","deaths"
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,0,0
NA,2,0
NA,10,0
NA,17,0
NA,33,0
NA,36,0
NA,42,0
NA,42,0
NA,70,0
NA,70,0
NA,77,0
NA,84,0
NA,91,0
NA,107,0
NA,107,1
NA,119,2
NA,119,2
NA,135,3
NA,135,3
NA,143,3
NA,146,5
NA,153,7
NA,155,7
NA,159,7
NA,165,7
NA,165,7
NA,167,9
NA,171,9
NA,171,9
NA,175,9
NA,181,9
NA,189,9
NA,189,9
NA,197,9
NA,204,9
NA,204,9
NA,227,9
NA,256,9
NA,256,9
NA,285,10
NA,288,10
NA,311,10
NA,318,10
NA,323,10
NA,325,10
NA,329,10
NA,329,10
NA,331,10
NA,333,16
NA,335,10
NA,345,10
NA,357,10
NA,357,10
NA,361,10
NA,379,10
NA,381,10
NA,388,10
NA,402,10
NA,414,10
NA,422,10
NA,423,10
NA,423,10
NA,455,10
NA,459,10
NA,504,10
NA,541,10
NA,618,10
NA,749,10
NA,824,10
NA,882,10
NA,944,10
NA,1010,10
NA,1121,10
NA,1177,10
NA,1211,11
NA,1245,11
NA,1325,11
NA,1370,14
NA,1459,14
NA,1510,14
NA,1662,17
NA,1819,18
NA,1952,20
NA,2087,20
NA,2145,20
NA,2316,22
NA,2377,22
NA,2473,22
NA,2632,23
NA,2738,23
NA,2814,23
NA,2879,23
NA,2904,24
NA,2978,25
NA,3062,26
NA,3150,27
NA,3386,28
NA,3483,28
NA,3591,30
NA,3789,33
NA,3917,33
NA,4048,35
NA,4187,35
NA,4366,38
NA,4563,39
NA,4779,41
NA,5130,42
NA,5297,44
NA,5530,48
NA,5832,51
NA,6062,54
NA,6273,57
NA,6537,59
NA,6750,62
NA,7169,65
NA,7411,68
NA,7693,71
NA,8008,75
NA,8372,80
NA,8803,83
NA,9178,85
NA,9465,89
NA,9707,93
NA,10010,96
NA,10428,100
NA,10854,104
NA,11191,107
NA,11483,110
NA,11891,112
NA,12334,116
NA,12774,120
NA,13164,124
NA,13613,129
NA,14263,134
NA,14929,138
NA,15463,142
NA,15988,146
NA,16571,151
NA,17158,156
NA,17859,158
NA,18574,164
NA,19443,169
NA,20206,174
NA,20754,180
NA,21438,187
NA,22299,195
NA,23280,202
NA,24166,208
NA,24961,215
NA,25805,223
NA,26800,229
NA,27938,238
NA,29088,247
NA,30369,259
NA,31381,266
NA,32607,276
NA,33755,281
NA,34802,288
NA,35697,297
NA,36868,303
NA,37567,311
NA,38219,317
NA,38957,323
NA,39564,329
NA,40338,337
NA,41158,343
NA,41965,351
NA,42898,358
NA,43879,366
NA,44946,375
NA,45868,381
NA,46728,386
NA,47756,391
NA,48883,398
NA,49877,402
NA,50973,412
NA,52165,420
NA,53289,428
NA,54350,436
NA,55563,444
NA,56751,452
NA,57823,460
NA,58663,468
NA,59630,477
NA,60540,485
NA,61569,494
NA,62655,502
NA,63416,511
NA,64284,520
NA,65174,530
NA,65949,539
NA,66656,547
NA,67443,555
NA,68453,564
NA,69439,574
NA,70406,581
NA,71273,591
NA,71940,600
NA,72691,606
NA,73528,614
NA,74363,621
NA,75122,628
NA,76029,635
NA,76820,643
NA,77646,649
NA,78434,653
NA,79117,658
NA,79796,665
NA,80404,671
NA,81019,678
NA,81696,684
NA,82453,691
NA,83137,697
NA,83756,704
NA,84391,710
NA,85005,714
NA,85469,720
NA,85758,725
NA,86289,731
NA,86636,736
NA,86636,736
NA,87644,747
NA,88035,753
NA,88416,759
NA,88718,764
NA,89142,770
NA,89565,773
NA,90047,777
NA,90400,780
NA,90876,784
NA,91280,789
NA,91589,793
NA,92013,798
NA,92325,801
NA,92705,806
NA,93100,810
NA,93480,814
NA,93921,819
NA,94305,821
NA,94698,824
NA,94883,826
NA,95149,830
NA,95445,834
NA,95750,838
NA,96140,841
NA,96441,844
NA,96933,848
NA,97352,851
NA,97739,855
NA,98050,858
NA,98350,860
NA,98665,863
NA,99017,866
NA,99435,869
NA,99835,871
NA,100143,873
NA,100498,876
NA,100817,880
NA,101215,884
NA,101524,888
NA,101760,892
NA,102040,894
NA,102394,897
NA,102621,901
NA,103067,905
NA,103548,909
NA,103877,913
NA,104177,916
NA,104442,919
NA,104904,924
NA,105384,928
NA,105852,933
NA,106280,938
NA,106715,944
NA,107177,949
NA,107786,954
NA,108125,960
NA,108480,965
NA,108717,970
NA,109081,975
NA,109395,979
NA,109781,984
NA,110075,988
NA,110513,993
NA,110828,997
NA,111024,1002
NA,111245,1006
NA,111603,1010
NA,111951,1013
NA,112316,1014
NA,112636,1018
NA,112861,1021
NA,113121,1025
NA,113558,1028
NA,113884,1030
NA,114083,1032
NA,114230,1034
NA,114407,1038
NA,114662,1042
NA,114908,1047
NA,115322,1052
NA,115667,1056
NA,116172,1061
NA,116610,1061
NA,116983,1073
NA,117299,1078
NA,117811,1084
NA,118415,1090
NA,118856,1095
NA,119306,1101
NA,119803,1106
NA,120444,1112
NA,121117,1116
NA,121691,1122
NA,122260,1129
NA,122795,1136
NA,123245,1142
NA,123709,1148
NA,124112,1154
NA,124525,1159
NA,124958,1165
NA,125364,1171
NA,125776,1177
NA,126323,1183
NA,126927,1189
NA,127346,1196
NA,127752,1202
NA,128315,1209
NA,128775,1216
NA,129231,1223
NA,129643,1228
NA,130116,1233
NA,130596,1240
NA,131096,1247
NA,131476,1253
NA,131828,1260
NA,132259,1267
NA,132743,1273
NA,133218,1279
NA,133577,1285
NA,133927,1292
NA,134319,1297
NA,134781,1303
NA,135114,1308
NA,135603,1312
NA,136068,1316
NA,136545,1320
NA,136986,1325
NA,137445,1331
NA,137871,1334
NA,138295,1338
NA,138739,1341
NA,139116,1344
NA,139545,1348
NA,139934,1353
NA,140383,1358
NA,140960,1364
NA,141356,1371
NA,141885,1378
NA,142338,1384
NA,142774,1391
NA,143321,1399
NA,143321,1399
NA,144277,1415
NA,144786,1422
NA,145379,1430
NA,145379,1430
NA,146488,1444
NA,147028,1451
NA,147577,1459
NA,148208,1467
NA,149145,1475
NA,150306,1483
NA,151123,1493
NA,151894,1502
NA,152508,1511
NA,153315,1521
NA,154165,1532
NA,154905,1543
NA,155663,1555
NA,156655,1565
NA,157943,1577
NA,159149,1589
NA,160497,1602
NA,161751,1615
NA,162730,1629
NA,164337,1647
NA,166123,1662
NA,167548,1678
NA,169074,1693
NA,170189,1705
NA,171373,1720
NA,172461,1739
NA,173786,1759
NA,174887,1778
NA,175812,1795
NA,176972,1815
NA,178094,1834
NA,179365,1853
NA,180609,1870
NA,181903,1888
NA,183190,1905
NA,184595,1925
NA,185736,1944
NA,186745,1965
NA,188063,1987
NA,189381,2009
NA,190523,2028
NA,191518,2047
NA,192498,2065
NA,193721,2082
NA,194959,2099
NA,196386,2117
NA,197683,2136
NA,198865,2155
NA,200067,2172
NA,200931,2189
NA,201807,2208
NA,202578,2226
NA,204057,2244
NA,205181,2263
NA,206549,2280
NA,207870,2291
NA,209162,2304
NA,210116,2320
NA,210948,2337
NA,211838,2352
NA,212998,2366
NA,212998,2366
NA,215301,2396
NA,216415,2411
NA,217603,2428
NA,218814,2446
NA,219864,2465
NA,221042,2483
NA,222052,2499
NA,223345,2513
NA,224819,2528
NA,226136,2544
NA,227407,2559
NA,228828,2576
NA,230147,2595
NA,231443,2615
NA,232800,2629
NA,234165,2646
NA,235567,2661
NA,236755,2674
NA,238013,2689
NA,239252,2698
NA,240714,2708
NA,242138,2719
NA,243621,2734
NA,245300,2750
NA,246764,2764
NA,247847,2781
NA,248820,2797
NA,250309,2814
NA,251686,2829
NA,252883,2845
NA,254116,2865
NA,255457,2886
NA,256862,2906
NA,258140,2925
NA,259413,2943
NA,260740,2958
NA,262038,2973
NA,263372,2989
NA,263372,2989
NA,265642,3023
NA,266952,3038
NA,268349,3055
NA,269635,3068
NA,269635,3068
NA,270654,3084
NA,272712,3119
NA,274024,3136
NA,275205,3154
NA,276395,3173
NA,277635,3190
NA,278665,3209
NA,279813,3222
NA,280980,3239
NA,281907,3253
NA,282940,3264
NA,283742,3278
NA,283742,3278
NA,285910,3302
NA,286990,3315
NA,288099,3327
NA,289362,3339
NA,290524,3350
NA,291716,3362
NA,292779,3377
NA,293866,3392
NA,293866,3392
NA,295746,3426
NA,296863,3443
NA,296863,3443
NA,298804,3475
NA,299822,3492
NA,300919,3509
NA,301979,3524
NA,302988,3542
NA,303797,3558
NA,304726,3576
NA,305766,3591
NA,306673,3607
NA,307570,3623
NA,308452,3637
NA,309218,3649
NA,309981,3666
NA,310960,3682
NA,312115,3694
NA,312115,3694
NA,312931,3705
NA,314480,3733
NA,314480,3733
NA,316449,3764
NA,317334,3781
NA,318185,3789
NA,319094,3799
NA,319955,3815
NA,319955,3815
NA,320922,3830
NA,322757,3859
NA,322757,3859
NA,324642,3886
NA,324642,3886
NA,326522,3909
NA,327450,3924
NA,328550,3940
NA,329736,3955
NA,329736,3955
NA,332172,3986
NA,333125,3998
NA,334343,4010
NA,334343,4010
NA,335233,4026
NA,337359,4056
NA,337359,4056
NA,338300,4072
NA,339255,4086
NA,340187,4098
NA,342148,4133
NA,342148,4133
NA,344297,4167
NA,345560,4179
NA,346755,4192
NA,346755,4192
NA,347647,4203
NA,348873,4214
NA,349731,4228
NA,350795,4245
NA,353401,4275
NA,353401,4275
NA,354239,4291
NA,356262,4311
NA,356262,4311
NA,358462,4346
NA,358462,4346
NA,359633,4363
NA,362040,4395
NA,362040,4395
NA,363300,4412
NA,366150,4443
NA,367672,4454
NA,368968,4469
NA,368968,4469
NA,370368,4483
NA,373332,4510
NA,373332,4510
NA,376311,4539
NA,377833,4558
NA,379352,4576
NA,380856,4592
NA,382266,4606
NA,383376,4617
NA,384668,4634
NA,384668,4634
NA,385952,4652
NA,388743,4681
NA,390045,4693
NA,390045,4693
NA,392762,4719
NA,394061,4734
NA,395223,4748
NA,396477,4763
NA,396477,4763
NA,397370,4775
NA,399667,4800
NA,400511,4810
NA,401259,4822
NA,401259,4822
NA,402407,4836
NA,403318,4848
NA,404387,4860
NA,406239,4884
NA,407151,4891
NA,407866,4902
NA,408727,4915
NA,409695,4925
NA,410648,4936
NA,411574,4946
NA,412472,4955
NA,413135,4965
NA,414220,4976
NA,414220,4976
NA,416190,4996
NA,416190,4996
NA,417998,5010
NA,418900,5019
NA,419745,5026
NA,420500,5034
NA,420500,5034
NA,422229,5049
NA,422229,5049
NA,423633,5066
NA,424441,5073
NA,425213,5079
NA,426014,5088
NA,426014,5088
NA,426799,5097
NA,428453,5115
NA,429360,5124
NA,430046,5131
NA,430696,5138
NA,431296,5144
NA,431296,5144
NA,432514,5161
NA,433208,5170
NA,433660,5177
NA,434133,5186
NA,434918,5193
NA,434918,5193
NA,435461,5202
NA,435825,5208
NA,436602,5223
NA,437113,5229
NA,437887,5234
NA,438683,5239
NA,438683,5239
NA,439089,5245
NA,439444,5250
NA,439935,5258
NA,440398,5265
NA,440784,5272
NA,441562,5285
NA,441562,5285
NA,441937,5291
NA,442178,5299
NA,442431,5306
NA,442999,5312
NA,442999,5312
NA,443332,5314
NA,443332,5314
NA,443983,5319
NA,443983,5319
NA,444411,5324
NA,444635,5328
NA,444828,5331
NA,444972,5333
NA,445082,5335
NA,445369,5337
NA,445680,5341
NA,445680,5341
NA,446026,5345
NA,446427,5348
NA,447288,5357
NA,447288,5357
NA,447865,5361
NA,449730,5370
NA,449730,5370
NA,452430,5376
NA,452430,5376
NA,455023,5380
NA,456641,5383
NA,456641,5383
NA,461059,5392
NA,463145,5395
NA,465463,5399
NA,467864,5402
NA,469566,5405
NA,469566,5405
NA,471389,5410
NA,475135,5419
NA,477022,5425
NA,479011,5430
NA,481375,5436
NA,484021,5440
NA,485974,5447
NA,485974,5447
NA,487775,5454
NA,491016,5469
NA,492678,5474
NA,494835,5481
NA,496283,5487
NA,496283,5487
NA,497977,5495
NA,499537,5504
NA,501586,5521
NA,501586,5521
NA,503162,5529
NA,504719,5538
NA,505947,5549
NA,506977,5556
NA,508042,5564
NA,508968,5572
NA,509947,5591
NA,510553,5602
NA,510553,5602
NA,511073,5609
NA,511772,5616
NA,512560,5624
NA,512947,5625
NA,513427,5628
NA,514315,5631
NA,514315,5631
NA,515124,5636
NA,515124,5636
NA,515582,5639
NA,515943,5643
